label,ax_mean,ax_std,ax_rms,ax_p2p,ay_mean,ay_std,ay_rms,ay_p2p,az_mean,az_std,az_rms,az_p2p,amag_rms
1,-7.036854,1.516646,7.198439,6.268020,0.146924,7.121053,7.122568,29.175741,-1.906486,4.338958,4.739329,15.265430,11.180779
1,-6.185093,2.787405,6.784173,10.168175,2.272090,8.109639,8.421914,32.292992,-4.531224,5.100078,6.822227,18.629284,12.786574
1,-4.588352,2.220301,5.097324,11.185711,4.720551,13.732096,14.520815,48.880020,-2.112236,6.074485,6.431244,22.926876,16.679258
1,-1.041749,3.054887,3.227627,12.739548,1.429969,13.795422,13.869336,50.247108,0.040270,8.188112,8.188211,29.656977,16.426287
1,-5.885530,1.365691,6.041902,6.296750,1.858834,11.741452,11.887681,45.391670,-3.773303,5.391758,6.580948,20.321983,14.870454
1,-4.216851,2.396594,4.850308,11.025299,2.154406,11.336677,11.539571,46.502579,-1.229957,5.950165,6.075957,20.369869,13.914182
1,-6.554240,1.461471,6.715203,5.604826,2.452061,8.177659,8.537372,32.582691,-3.424531,4.215985,5.431569,15.804125,12.144241
1,-7.021964,1.254117,7.133077,5.738901,1.136799,6.626444,6.723249,24.344242,-2.595818,3.819428,4.618041,12.334927,10.835549
1,-4.207921,2.129685,4.716159,8.549694,0.021852,9.364656,9.364682,32.302567,-0.634990,6.648936,6.679189,21.540634,12.431851
1,-2.420371,1.797772,3.014993,8.197746,-0.277728,9.606998,9.611012,33.451786,0.449750,7.477069,7.490583,24.123976,12.552713
1,-6.210502,1.246934,6.334444,5.652710,2.320987,9.309836,9.594792,41.474754,-4.282748,4.298079,6.067570,19.048267,13.000024
1,-5.411901,1.434707,5.598845,7.074865,2.445661,10.300589,10.586944,37.761349,-2.202019,5.001754,5.465019,19.409794,13.164227
1,-4.434630,1.031311,4.552971,5.968745,6.647637,8.499332,10.790260,30.980970,1.507350,5.339298,5.547991,21.875820,12.959146
1,-4.351254,3.761717,5.751863,19.534290,-1.465347,10.791270,10.890306,38.960846,-7.176030,5.502981,9.043130,26.235662,15.279428
1,-6.700990,3.833297,7.719937,14.221559,3.427947,12.062918,12.540526,43.368568,-1.592710,8.061409,8.217240,29.070396,16.863731
1,-6.533840,2.107056,6.865183,10.702082,-0.303193,10.158664,10.163187,35.759796,-4.212158,4.166476,5.924677,17.896658,13.620678
1,-4.012857,3.007880,5.015014,12.540829,-1.051510,8.885432,8.947434,33.107021,-1.547740,6.447514,6.630681,23.755268,12.213632
1,-5.160948,2.573557,5.767025,10.548853,-0.991598,9.105554,9.159387,36.657623,-3.435991,4.414420,5.594027,17.544710,12.183845
1,-5.504704,2.135545,5.904432,9.045294,-0.035059,9.636051,9.636115,35.197159,-2.527159,4.612973,5.259853,16.977283,12.465272
1,-6.907525,1.261839,7.021832,7.034165,1.568800,7.243483,7.411422,24.727314,-1.398757,4.809072,5.008362,17.010803,11.371854
1,-4.038093,1.798952,4.420681,7.264009,1.847072,8.495094,8.693578,28.301857,-6.344667,3.806217,7.398790,12.559982,12.241853
2,2.593781,2.029501,3.293414,8.846575,9.371470,9.632383,13.439020,37.778111,-0.138441,1.156350,1.164607,5.657498,13.885610
2,3.453180,3.519029,4.930316,15.509639,9.297277,10.436010,13.976755,45.482647,0.678461,2.487236,2.578110,12.536040,15.043418
2,2.620420,1.528693,3.033728,6.349423,9.227701,8.275961,12.395241,34.423832,-1.167037,1.008217,1.542231,5.724536,12.853944
2,2.511063,2.322027,3.420124,8.465898,9.250083,3.409748,9.858520,14.434642,-1.410122,0.671271,1.561745,4.424485,10.551147
2,1.713434,1.312417,2.158308,5.947197,9.461671,1.761262,9.624202,12.492944,-1.754223,0.258815,1.773213,1.735796,10.021366
2,2.264077,1.208755,2.566541,5.348647,9.345527,6.901266,11.617501,27.119123,-0.009058,2.583483,2.583498,12.763490,12.174886
2,1.497286,1.141389,1.882720,6.500257,7.374524,6.073055,9.553303,25.811890,-6.962490,3.894177,7.977524,18.574217,12.587737
2,1.411573,1.121040,1.802573,4.927267,9.237912,6.719843,11.423454,24.248476,2.699215,2.432630,3.633656,11.279084,12.122215
2,1.838786,1.351807,2.282218,5.446809,8.264620,7.623928,11.244030,30.494946,-6.068696,3.786738,7.153214,15.119384,13.520548
2,3.017938,2.924471,4.202437,15.143326,9.535433,8.294877,12.638412,33.509247,-2.520104,1.766179,3.077388,9.593567,13.669684
2,1.736491,1.778746,2.485828,7.513005,9.628870,9.720875,13.682490,33.267433,-1.848387,1.031937,2.116939,5.240907,14.066671
2,1.201626,1.132909,1.651481,5.497087,10.048077,7.324313,12.434203,30.937874,-1.678846,1.039323,1.974517,6.773196,12.697856
3,-7.938183,4.659225,9.204516,16.519993,2.369319,5.191327,5.706448,19.065027,-4.804947,2.894910,5.609636,11.686098,12.196506
3,-6.531443,4.534889,7.951413,16.012421,2.522523,5.548216,6.094738,17.851168,-6.083571,5.001367,7.875501,17.389088,12.743406
3,-7.235836,4.593034,8.570489,14.657303,2.329861,5.210799,5.707949,19.642031,-6.055374,4.458740,7.519835,16.606182,12.750759
3,-6.972577,5.152625,8.669854,20.439301,3.052439,4.681326,5.588577,17.025167,-5.899512,5.549818,8.099674,22.079327,13.115002
3,-6.780147,4.306983,8.032464,16.438587,3.255477,4.266428,5.366614,15.677233,-6.098072,5.982579,8.542701,21.772869,12.895686
